OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
274882,3048330001,3337080,1937.0,761623,2100,Photogrammetric,45.0,37.62,8/22/2017 3:59:23 PM,Constructed,3048330001,,1363.734375,222.13849667805,LEASED
276495,3066420045,3176314,1931.0,600909,2100,Photogrammetric,25.0,60.79,8/22/2017 3:25:43 PM,Constructed,3066420045,,931.609375,139.220446249233,LEASED
276749,3048330001,3337084,1937.0,792921,2100,Photogrammetric,43.0,35.1,8/22/2017 3:36:27 PM,Constructed,3048330001,,835.09765625,158.899920206978,LEASED
277171,2031430043,2013307,1975.0,394962,2100,Photogrammetric,52.0,84.68103336,8/22/2017 6:56:38 PM,Constructed,2031430043,,8356.08984375,609.35814931021,LEASED
278764,4015710019,4439252,1931.0,280741,2100,Photogrammetric,50.0,39.01,8/22/2017 6:37:14 PM,Constructed,4015710019,,2574.28515625,308.48386124498,LEASED
279648,3012890025,3396386,1908.0,982262,2100,Photogrammetric,114.0,14.02,7/11/2014 12:00:00 AM,Constructed,3012890025,,110.796875,54.7532163743965,MIXED
279806,3010380001,3023562,1972.0,632148,2100,Photogrammetric,13.0,26.55284071,8/22/2017 3:53:13 PM,Constructed,3010380001,,6072.33203125,318.555523052044,LEASED
281392,4093750261,4196969,1937.0,272479,2100,Photogrammetric,54.0,34.11,8/22/2017 6:03:05 PM,Constructed,4093750261,,4393.46484375,268.742992816605,LEASED
282782,1000220020,1000812,1904.0,295448,2100,Photogrammetric,24.0,282.74,8/22/2017 6:56:09 PM,Constructed,1000220020,,3448.3359375,242.018791205063,LEASED
284891,1016340065,1052058,1947.0,808295,2100,Photogrammetric,12.0,58.58,8/22/2017 6:56:07 PM,Constructed,1016340065,,3701.90234375,264.804794553022,LEASED
285014,1010700044,1026909,1910.0,129860,2100,Photogrammetric,15.0,62.28704284,8/22/2017 7:37:52 PM,Constructed,1010700044,,775.2578125,121.259215517781,LEASED
285658,2024110041,2001876,1972.0,402843,2100,Photogrammetric,56.0,39.49,8/22/2017 5:48:51 PM,Constructed,2024110041,,877.96875,118.596334709663,LEASED
