OBJECTID,Base BBL,BIN,Construction Year,DOITT ID,Feature Code,Geometry Source,Ground Elevation,Height Roof,LAST_EDITED_DATE,LAST_STATUS_TYPE,Map Pluto BBL,Name,Area,Length,Lease_Category
763750,1021100021,1062594,1930.0,189983,2100,Photogrammetric,157.0,62.76634818,8/22/2017 6:50:08 PM,Constructed,1021100021,,345.46484375,103.75781725678,OWNED
763782,3013730034,3036563,1917.0,245445,2100,Photogrammetric,104.0,43.60137736,8/22/2017 3:23:51 PM,Constructed,3013730034,,607.453125,141.922799483174,OWNED
763947,1008860051,1018325,1976.0,520105,2100,Photogrammetric,29.0,29.77281445,8/22/2017 5:57:48 PM,Constructed,1008860051,,728.15625,117.440788714504,OWNED
764073,3018210025,3051541,1945.0,70069,2100,Photogrammetric,65.0,14.52,12/11/2023 8:54:31 PM,Constructed,3018210025,Raymond Bush Playground Public Restroom,97.88671875,40.1035391115673,OWNED
764194,3008800001,3250724,1964.0,1119142,2100,Photogrammetric,119.0,10.22443742,12/11/2023 9:29:03 PM,Constructed,3008800001,Slope Park Playground Public Restroom,86.40234375,37.1901910226189,OWNED
764264,3071400016,3322172,1956.0,204712,2100,Photogrammetric,17.0,83.24,8/22/2017 3:57:09 PM,Constructed,3071400016,,991.41015625,189.99689231483,OWNED
764348,3034260046,3319589,1990.0,736266,2100,Photogrammetric,63.0,42.98,8/22/2017 3:18:40 PM,Constructed,3034260046,,130.94921875,48.9799633889913,OWNED
764857,3044800004,3324190,1930.0,222444,2100,Photogrammetric,15.0,30.01965731,8/22/2017 3:23:59 PM,Constructed,3044800004,,130.9140625,47.9229010014499,OWNED
764957,5037110003,5053872,1970.0,669860,2100,Photogrammetric,6.0,23.33,8/22/2017 7:32:24 PM,Constructed,5037110003,,114.08984375,43.3742244898264,OWNED
764965,3036060001,3082391,1930.0,243624,2100,Photogrammetric,25.0,89.23711598,8/22/2017 3:57:08 PM,Constructed,3036060001,,2912.7734375,345.847388139251,OWNED
765021,1016260021,1082319,1951.0,486242,2100,Photogrammetric,55.0,142.46172862,8/22/2017 5:57:58 PM,Constructed,1016260021,,1086.0,171.252468763181,OWNED
765039,1010840009,1027061,1976.0,281402,2100,Photogrammetric,39.0,139.76,8/22/2017 5:58:09 PM,Constructed,1010840009,,2404.42578125,348.805608575867,OWNED
765315,3020410001,3335249,1939.0,852821,2100,Photogrammetric,42.0,116.69146358,8/22/2017 3:29:16 PM,Constructed,3020410001,,1830.42578125,347.73183977142,OWNED
765376,1016200023,1080640,1961.0,254258,2100,Photogrammetric,20.0,184.12,8/22/2017 7:10:43 PM,Constructed,1016200023,,1339.4296875,225.714637704826,OWNED
765442,3013410012,3341634,1950.0,785299,2100,Photogrammetric,70.0,43.72,8/22/2017 3:23:59 PM,Constructed,3013410012,,690.6328125,118.179008042331,OWNED
765583,2045070048,2093465,1950.0,192505,2100,Photogrammetric,112.0,63.26,8/22/2017 5:58:09 PM,Constructed,2045070048,,1030.25390625,158.992556887552,OWNED
765590,4102500001,4218416,1930.0,376300,2100,Photogrammetric,39.0,85.6,8/22/2017 5:58:00 PM,Constructed,4102500001,,2503.0703125,286.673502073389,OWNED
765720,2029010001,2092100,1964.0,735962,2100,Photogrammetric,43.0,177.72,8/22/2017 7:11:01 PM,Constructed,2029010001,,759.51171875,110.514441564045,OWNED
765866,2049050500,2065991,1954.0,289678,2100,Photogrammetric,123.0,45.47,8/22/2017 7:32:37 PM,Constructed,2049050500,,4235.4765625,409.473114306,OWNED
765898,3013440001,3324601,1950.0,668812,2100,Photogrammetric,70.0,56.57,8/22/2017 3:23:52 PM,Constructed,3013440001,,1121.734375,230.205446667328,OWNED
765984,5010700034,5095251,1936.0,118243,2100,Photogrammetric,13.0,39.55,8/22/2017 5:44:25 PM,Constructed,5010700034,,929.828125,145.091162567878,OWNED
766156,4111340018,4240056,1930.0,54484,2100,Photogrammetric,49.0,29.22,8/22/2017 7:10:45 PM,Constructed,4111340018,,105.921875,44.7539484675632,OWNED
766264,4119750032,4259310,1925.0,765879,2100,Photogrammetric,24.0,25.38,8/22/2017 6:31:41 PM,Constructed,4119750032,,88.83203125,38.7519030954241,OWNED
766405,5012180001,5027641,1927.0,94417,2100,Other (Manual),41.0,60.0,8/22/2017 7:11:02 PM,Constructed,5012180001,,5340.2265625,515.84945224228,OWNED
